Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6110] JOYTIS TRADIN
From     : 08/30/2008 To 11/21/2008
Printed  : 11/22/2008 10:42am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
2402569        HN-459 HAIRNET                      6     24.00       144.00|        6     21.60       129.60|    16.50        99.00
2402569        HN-459 HAIRNET                      1     24.00        24.00|                                |    16.50        16.50
2402569        HN-459 HAIRNET                      1     29.00        29.00|                                |    20.25        20.25
2402814        HN-460 HAIRNET SEMI                 2     34.00        68.00|        2     30.60        61.20|    23.25        46.50
2402814        HN-460 HAIRNET SEMI                 3     34.00       102.00|                                |    23.25        69.75
2402814        HN-460 HAIRNET SEMI                 1     39.00        39.00|        1     31.20        31.20|    27.00        27.00
2402567        HP-123 HAIRPINS ORD                 1      7.00         7.00|        1      5.95         5.95|     4.50         4.50
2402567        HP-123 HAIRPINS ORD                 5     10.00        50.00|        5      8.00        40.00|     6.75        33.75
2402567        HP-123 HAIRPINS ORD                 3     10.00        30.00|                                |     6.75        20.25
2403559        HS-P2 HAIR STRAIGHTENER             2    964.00     1,928.00|                                |   674.25     1,348.50
2785347        ILYSIA SU 22                        2     26.00        52.00|        2     23.40        46.80|    18.00        36.00
2765372        L/M/UP PANTYHOSE 20                 1     40.00        40.00|                                |    27.75        27.75
2765373        LEG M/UP P/H #22                    1     40.00        40.00|                                |    27.75        27.75
2765377        LEG M/UP STAY-UP #20                2     28.00        56.00|        2     25.20        50.40|    19.50        39.00
2765377        LEG M/UP STAY-UP #20                1     28.00        28.00|                                |    19.50        19.50
2765378        LEG M/UP STAY-UP #22                2     28.00        56.00|        2     25.20        50.40|    19.50        39.00
2765378        LEG M/UP STAY-UP #22                1     28.00        28.00|                                |    19.50        19.50
2702448        LEVANTE PANTY HOSE #                2     94.00       188.00|                                |    65.25       130.50
2702449        LEVANTE PANTY HOSE #                1     94.00        94.00|        1     79.90        79.90|    65.25        65.25
2402568        LHN-461 HAIRNET                    16     20.00       320.00|       16     18.00       288.00|    13.50       216.00
2402568        LHN-461 HAIRNET                    13     20.00       260.00|                                |    13.50       175.50


Lopues East Center                                                                      Page: 6
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6110] JOYTIS TRADIN
From     : 08/30/2008 To 11/21/2008
Printed  : 11/22/2008 10:42am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
