<small3>
Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2979] MAIN PACIFIC FEATURES INC
From     : 01/01/2009 To 10/13/2009
Printed  : 10/14/2009 11:29am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
14             BOOKS(GIBSON)                      17     10.00       170.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     11.00        11.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       2     14.50        29.00|        2     12.33        24.65|     0.00         0.00
14             BOOKS(GIBSON)                       4     14.50        58.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       2     19.50        39.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       3     20.00        60.00|        3     17.00        51.00|     0.00         0.00
14             BOOKS(GIBSON)                       2     20.00        40.00|        2     18.00        36.00|     0.00         0.00
14             BOOKS(GIBSON)                       1     20.00        20.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     22.00        22.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     24.00        24.00|        1     20.40        20.40|     0.00         0.00
14             BOOKS(GIBSON)                       2     24.50        49.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       5     25.00       125.00|        5     21.25       106.25|     0.00         0.00
14             BOOKS(GIBSON)                       9     25.00       225.00|        9     22.50       202.50|     0.00         0.00
14             BOOKS(GIBSON)                      25     25.00       625.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     26.50        26.50|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     29.00        29.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     29.50        29.50|        1     25.08        25.10|     0.00         0.00
14             BOOKS(GIBSON)                       1     29.50        29.50|        1     26.55        26.55|     0.00         0.00
14             BOOKS(GIBSON)                       1     29.75        29.75|        1     25.29        25.30|     0.00         0.00
14             BOOKS(GIBSON)                       1     29.75        29.75|        1     26.78        26.80|     0.00         0.00
14             BOOKS(GIBSON)                      39     30.00     1,170.00|       39     25.50       994.50|     0.00         0.00
14             BOOKS(GIBSON)                      17     30.00       510.00|       17     27.00       459.00|     0.00         0.00
14             BOOKS(GIBSON)                      62     30.00     1,860.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                      -1     31.50       -31.50|                                |     0.00         0.00
14             BOOKS(GIBSON)                       5     34.50       172.50|        5     31.05       155.25|     0.00         0.00
14             BOOKS(GIBSON)                      93     34.75     3,231.75|       93     29.54     2,747.70|     0.00         0.00
14             BOOKS(GIBSON)                      49     34.75     1,702.75|       49     31.28     1,533.25|     0.00         0.00
14             BOOKS(GIBSON)                     104     34.75     3,614.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     35.00        35.00|        1     14.00        14.00|     0.00         0.00
14             BOOKS(GIBSON)                      21     35.00       735.00|       21     29.75       624.75|     0.00         0.00
14             BOOKS(GIBSON)                      40     35.00     1,400.00|       40     31.50     1,260.00|     0.00         0.00
14             BOOKS(GIBSON)                      83     35.00     2,905.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     36.00        36.00|        1     32.40        32.40|     0.00         0.00
14             BOOKS(GIBSON)                       1     36.50        36.50|        1     32.85        32.85|     0.00         0.00
14             BOOKS(GIBSON)                       1     38.00        38.00|                                |     0.00         0.00
